iter	Passed	Remaining
0	0	355
1	0	315
2	0	314
3	1	306
4	1	302
5	1	297
6	2	299
7	2	296
8	2	296
9	2	293
10	3	293
11	3	291
12	3	289
13	4	284
14	4	280
15	4	283
16	4	282
17	5	282
18	5	284
19	5	289
20	6	293
21	6	291
22	6	289
23	7	288
24	7	287
25	7	286
26	7	284
27	8	281
28	8	281
29	8	279
30	8	277
31	9	276
32	9	277
33	9	276
34	10	275
35	10	277
36	10	280
37	11	281
38	11	283
39	11	284
40	12	283
41	12	282
42	12	280
43	12	278
44	13	277
45	13	275
46	13	274
47	13	274
48	14	275
49	14	275
50	14	276
51	15	276
52	15	277
53	15	277
54	16	277
55	16	276
56	16	276
57	16	275
58	17	274
59	17	273
60	17	273
61	18	272
62	18	271
63	18	270
64	18	269
65	18	268
66	19	268
67	19	268
68	19	268
69	20	267
70	20	267
71	20	267
72	21	267
73	21	267
74	21	267
75	22	268
76	22	268
77	22	267
78	22	266
79	23	266
80	23	265
81	23	264
82	23	262
83	24	262
84	24	261
85	24	260
86	24	259
87	24	258
88	25	258
89	25	257
90	25	256
91	25	256
92	26	255
93	26	255
94	26	255
95	27	255
96	27	256
97	27	256
98	28	256
99	28	255
100	28	254
101	28	254
102	29	254
103	29	254
104	29	254
105	30	253
106	30	253
107	30	253
108	30	253
109	31	253
110	31	254
111	32	254
112	32	254
113	32	255
114	33	255
115	33	255
116	33	255
117	34	255
118	34	255
119	34	256
120	35	255
121	35	255
122	35	255
123	36	255
124	36	254
125	36	254
126	36	253
127	37	252
128	37	252
129	37	251
130	37	250
131	38	250
132	38	249
133	38	248
134	38	248
135	38	247
136	39	247
137	39	246
138	39	246
139	39	245
140	40	245
141	40	243
142	40	243
143	40	242
144	41	242
145	41	241
146	41	241
147	41	240
148	42	240
149	42	240
150	42	239
151	42	238
152	43	238
153	43	238
154	43	237
155	43	237
156	44	237
157	44	237
158	44	237
159	45	237
160	45	236
161	45	236
162	45	235
163	46	235
164	46	235
165	46	235
166	47	235
167	47	235
168	47	235
169	48	235
170	48	235
171	48	234
172	49	234
173	49	234
174	49	233
175	49	233
176	50	233
177	50	233
178	50	233
179	51	232
180	51	232
181	51	232
182	51	231
183	52	231
184	52	231
185	52	230
186	53	230
187	53	230
188	53	229
189	53	229
190	54	228
191	54	228
192	54	228
193	54	227
194	55	227
195	55	226
196	55	226
197	55	226
198	56	226
199	56	225
200	56	224
201	56	224
202	57	224
203	57	224
204	57	224
205	58	223
206	58	223
207	58	223
208	58	222
209	59	222
210	59	221
211	59	221
212	59	221
213	60	220
214	60	220
215	60	220
216	60	219
217	61	219
218	61	218
219	61	218
220	61	218
221	62	217
222	62	217
223	62	217
224	63	217
225	63	216
226	63	216
227	63	216
228	64	215
229	64	215
230	64	215
231	64	215
232	65	214
233	65	214
234	65	214
235	66	213
236	66	213
237	66	213
238	67	213
239	67	213
240	67	212
241	67	212
242	68	211
243	68	211
244	68	211
245	68	211
246	69	210
247	69	210
248	69	210
249	70	210
250	70	209
251	70	209
252	70	209
253	71	208
254	71	208
255	71	208
256	72	208
257	72	208
258	72	207
259	72	207
260	73	207
261	73	206
262	73	206
263	74	206
264	74	206
265	74	206
266	75	206
267	75	205
268	75	205
269	76	205
270	76	205
271	76	204
272	76	204
273	77	204
