iter	Passed	Remaining
0	60	60251
1	60	30268
2	60	20256
3	61	15250
4	61	12242
5	61	10259
6	62	8825
7	62	7757
8	63	6938
9	63	6265
10	63	5721
11	63	5266
12	64	4881
13	64	4555
14	64	4268
15	65	4018
16	65	3797
17	65	3599
18	66	3422
19	66	3262
20	66	3119
21	67	2988
22	67	2866
23	67	2756
24	68	2656
25	68	2562
26	68	2475
27	69	2395
28	69	2318
29	69	2247
30	69	2181
31	70	2119
32	70	2061
33	70	2007
34	70	1955
35	71	1906
36	71	1860
37	71	1816
38	72	1777
39	72	1739
40	72	1704
41	73	1668
42	73	1633
43	73	1600
44	74	1571
45	74	1542
46	74	1514
47	74	1486
48	75	1461
49	75	1436
50	75	1412
51	76	1390
52	76	1368
53	76	1346
54	77	1326
55	77	1306
56	77	1286
57	78	1268
58	78	1252
59	78	1234
60	79	1216
61	79	1199
62	79	1183
63	79	1168
64	80	1152
65	80	1137
66	80	1122
67	80	1106
68	80	1092
69	81	1080
70	81	1067
71	81	1055
72	82	1042
73	82	1031
74	82	1020
75	83	1010
76	83	999
77	83	988
78	84	980
79	84	969
80	84	959
81	84	949
82	85	939
83	85	930
84	85	920
85	85	911
86	85	901
87	86	893
88	86	884
89	86	876
90	86	868
91	87	861
92	87	853
93	87	846
94	88	838
95	88	831
96	88	824
97	88	817
98	89	811
99	89	804
100	89	797
101	89	789
102	90	784
103	90	778
104	90	773
105	91	768
106	91	762
107	91	757
108	92	756
109	92	750
110	93	745
111	93	739
112	93	734
113	93	729
114	94	724
115	94	718
116	94	713
117	94	708
118	95	703
119	95	699
120	95	694
121	95	690
122	95	684
123	96	680
124	96	675
125	96	671
126	97	667
127	97	662
128	97	658
129	97	654
130	98	651
131	98	649
132	99	646
133	99	642
134	99	638
135	99	635
136	100	631
137	100	627
138	100	623
139	101	620
140	101	617
141	101	613
142	101	611
143	102	607
144	102	604
145	102	601
146	103	597
147	103	594
148	104	595
149	104	592
150	104	589
151	105	586
152	105	582
153	105	579
154	105	576
155	105	573
156	106	570
157	106	567
158	107	568
159	107	565
160	108	563
161	108	560
162	108	557
163	108	555
164	109	552
165	109	549
166	109	547
167	110	544
168	110	542
169	110	540
170	110	537
171	111	535
172	111	532
173	111	530
174	111	527
175	112	525
176	112	522
177	112	520
178	112	518
179	113	515
180	113	512
181	113	510
182	113	508
183	114	506
184	114	504
185	114	502
186	114	499
187	115	497
188	115	495
189	115	493
190	116	491
191	116	489
192	116	487
193	116	485
194	117	483
195	117	481
196	117	479
197	117	477
198	118	475
199	118	473
200	118	471
201	119	470
202	119	468
203	119	466
204	119	464
205	120	462
206	120	460
207	120	459
208	120	457
209	121	455
210	121	454
211	121	452
212	121	450
213	122	448
214	122	447
215	122	445
216	123	444
217	123	442
218	123	440
219	123	439
220	124	437
221	124	436
222	124	434
223	124	432
224	125	431
225	125	429
226	125	427
227	125	426
228	126	424
229	126	423
230	126	421
231	126	420
232	127	418
233	127	417
234	127	415
235	128	414
236	128	412
237	128	411
238	128	410
239	129	408
240	129	407
241	129	406
242	129	404
243	130	403
244	130	401
245	130	400
246	131	399
247	131	398
248	131	396
249	131	395
250	132	394
251	132	392
252	132	391
253	132	390
254	133	389
255	133	387
256	133	386
257	134	385
258	134	384
259	134	382
260	134	381
261	135	380
262	135	379
263	135	377
264	135	376
265	136	375
266	136	374
267	136	373
268	137	372
269	137	371
270	137	370
271	137	369
272	138	367
273	138	366
274	138	365
275	138	364
276	139	363
277	139	362
278	139	361
279	140	360
280	140	359
281	140	357
282	140	356
283	141	355
284	141	354
285	141	353
286	142	353
287	142	352
288	142	350
289	142	349
290	143	348
291	143	347
292	143	346
293	144	345
294	144	344
295	144	343
296	144	342
297	145	341
298	145	340
299	145	339
300	145	338
301	146	337
302	146	336
303	146	335
304	146	334
305	147	333
306	147	332
307	147	332
308	148	331
309	148	330
310	149	330
311	149	329
312	149	328
313	150	327
314	150	327
315	151	327
316	151	326
317	151	325
318	152	324
319	152	323
320	152	322
321	152	321
322	153	320
323	153	320
324	153	319
325	154	318
326	154	317
327	154	316
328	154	315
329	155	315
330	155	314
331	155	313
332	156	312
333	156	311
334	156	311
335	156	310
336	157	309
337	157	308
338	157	307
339	158	306
340	158	305
341	158	305
342	158	304
343	159	303
344	159	302
345	159	301
346	159	301
347	160	300
348	160	299
349	160	298
350	161	297
351	161	297
352	161	296
353	161	295
354	162	294
355	163	294
356	163	294
357	163	293
358	163	292
359	164	292
360	164	291
361	165	290
362	165	290
363	165	289
364	165	288
365	166	287
366	166	286
367	166	286
368	166	285
369	167	284
370	167	283
371	167	283
372	168	282
373	168	281
374	168	281
375	168	280
376	169	279
377	169	278
378	169	278
379	170	277
380	170	276
381	170	275
382	170	275
383	171	274
384	171	273
385	171	272
386	171	272
387	172	271
388	172	270
389	172	270
390	172	269
391	173	268
392	173	267
393	173	267
394	173	266
395	174	265
396	174	265
397	174	264
398	175	263
399	175	263
400	175	262
401	175	261
402	176	261
403	176	260
404	176	259
405	176	258
406	177	258
407	178	258
408	178	258
409	178	257
410	179	256
411	179	256
412	179	255
413	179	254
414	180	254
415	180	253
416	181	253
417	181	252
418	181	251
419	181	251
420	181	250
421	182	249
422	182	248
423	182	248
424	182	247
425	183	246
426	183	246
427	183	245
428	184	244
429	184	244
430	184	243
431	184	243
432	185	242
433	185	241
434	185	241
435	185	240
436	186	239
437	186	239
438	186	238
439	186	237
440	187	237
441	187	236
442	187	236
443	188	235
444	188	235
445	188	234
446	189	233
447	189	233
448	189	232
449	189	232
450	190	231
451	190	230
452	190	230
453	190	229
454	191	229
455	191	228
456	191	228
457	192	227
458	192	226
459	192	226
460	193	225
461	193	225
462	193	224
463	193	224
464	194	223
465	194	222
466	194	222
467	195	221
468	195	221
469	195	220
470	195	220
471	196	219
472	196	219
